case_id,type,arity,n_distinct_roots,gt_roots,method,feature_set,top1,top5,hit@1,hit@3,hit@5,recall@R,fullhit@1,fullhit@3,fullhit@5,ndcg@1,ndcg@3,ndcg@5,avg@1,avg@3,avg@5,mrr
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed0,resource,search,search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed1,resource,review-query,review-query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed2,resource,review-query,review-query,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed3,resource,pricing,pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,RCD_seed4,resource,pricing,pricing;review-query;search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,delta_ratio,resource,sasrec,sasrec;host;order;cart;mysql,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,0.5384615384615384
mr2_cross_res-sasrec_cpu_x_catalog_netdelay-k8s-v2-formal-r1-20260817142711,d09,dual,2,sasrec;catalog-gw,delta_z,resource,sasrec,sasrec;mysql;host;user;pricing,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,0.5384615384615384
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,BARO,full,cart,cart;checkout;pricing;backend;user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed0,full,checkout,checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed1,full,checkout,checkout;catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed2,full,order,order;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed3,full,checkout,checkout;cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed4,full,catalog-gw,catalog-gw;cart,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,delta_ratio,full,pricing,pricing;checkout;review-query;catalog;cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,delta_z,full,backend,backend;checkout;cart;review-query;catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,BARO,resource,pricing,pricing;checkout;user;review-query;cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed0,resource,cart,cart;catalog-gw,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed1,resource,pricing,pricing;user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed2,resource,order,order;catalog-gw,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed3,resource,cart,cart;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,RCD_seed4,resource,pricing,pricing;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,delta_ratio,resource,cart,cart;catalog-gw;catalog;host;checkout,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_net-net_delay_single-k8s-v2-formal-r1-20260817142955,s01,single,1,catalog-gw,delta_z,resource,backend,backend;checkout;cart;review-query;user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,BARO,full,cart,cart;order;sasrec;rec-agent;backend,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed0,full,search,search;cart,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed1,full,search,search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed2,full,inventory,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed3,full,search,search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed4,full,catalog-gw,catalog-gw;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,delta_ratio,full,cart,cart;catalog;review-query;search;order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,delta_z,full,cart,cart;backend;pricing;search;inventory,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,BARO,resource,cart,cart;order;checkout;search;user,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed0,resource,checkout,checkout;cart,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed1,resource,review-query,review-query;search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed2,resource,inventory,inventory;checkout;cart,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.3333333333333333
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed3,resource,cart,cart;checkout,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,RCD_seed4,resource,pricing,pricing;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,delta_ratio,resource,cart,cart;checkout;catalog-gw;pricing;search,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_lif-pod_failure_single-k8s-v2-formal-r1-20260817143309,s15,single,1,cart,delta_z,resource,cart,cart;pricing;search;inventory;host,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,BARO,full,catalog,catalog;review-query;checkout;pricing;search,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed0,full,catalog-gw,catalog-gw;pricing;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed1,full,catalog-gw,catalog-gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed2,full,catalog,catalog,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed3,full,catalog-gw,catalog-gw;catalog,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed4,full,catalog-gw,catalog-gw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,delta_ratio,full,search,search;catalog;pricing;review-query;checkout,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,delta_z,full,catalog,catalog;catalog-gw;search;host;pricing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,BARO,resource,catalog,catalog;pricing;mysql;catalog-gw;host,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed0,resource,catalog-gw,catalog-gw;catalog,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed1,resource,catalog-gw,catalog-gw;catalog,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed2,resource,catalog,catalog,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed3,resource,catalog,catalog;catalog-gw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,RCD_seed4,resource,catalog,catalog;catalog-gw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,delta_ratio,resource,catalog-gw,catalog-gw;catalog;host;pricing;mysql,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,0.0,1.0,1.0,0.5
mr1_single_dependency-catalog_latency_single-k8s-v2-formal-r1-20260817143650,s08,single,1,catalog,delta_z,resource,catalog,catalog;catalog-gw;host;pricing;mysql,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,BARO,full,order,order;review-query;catalog;checkout;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08116883116883117
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed0,full,user,user;checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed1,full,user,user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed2,full,inventory,inventory;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed3,full,user,user,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed4,full,order,order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,delta_ratio,full,pricing,pricing;cart;catalog;checkout;order,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666666
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,delta_z,full,order,order;pricing;search;cart;catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07179487179487179
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,BARO,resource,cart,cart;user;review-query;checkout;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09401709401709402
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed0,resource,inventory,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed1,resource,search,search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed2,resource,review-query,review-query;cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed3,resource,checkout,checkout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,RCD_seed4,resource,checkout,checkout;user;search,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,delta_ratio,resource,catalog-gw,catalog-gw;catalog;host;pricing;backend,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.6131471927654584,0.6131471927654584,0.5,0.5,0.5,0.5625
mr2_cross_res-db_lock_x_netdelay-k8s-v2-formal-r1-20260817143931,d10,dual,2,mysql;catalog-gw,delta_z,resource,search,search;user;review-query;backend;inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012820512820512
mr1_single_net-net_loss_single-k8s-v2-formal-r1-20260817144535,s02,single,1,catalog-gw,BARO,full,checkout,checkout;pricing;sasrec;rec-agent;catalog-gw,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38685280723454163,0.0,0.0,1.0,0.2
mr1_single_net-net_loss_single-k8s-v2-formal-r1-20260817144535,s02,single,1,catalog-gw,RCD_seed0,full,pricing,pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_loss_single-k8s-v2-formal-r1-20260817144535,s02,single,1,catalog-gw,RCD_seed1,full,search,search;backend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_loss_single-k8s-v2-formal-r1-20260817144535,s02,single,1,catalog-gw,RCD_seed2,full,catalog,catalog;review-query;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_loss_single-k8s-v2-formal-r1-20260817144535,s02,single,1,catalog-gw,RCD_seed3,full,backend,backend;pricing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr1_single_net-net_loss_single-k8s-v2-formal-r1-20260817144535,s02,single,1,catalog-gw,RCD_seed4,full,pricing,pricing;backend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
